# 4. 障害者総合支援法の難病患者等対象疾病一覧　376疾病（令和7年4月1日改定）
○印…障害者総合支援法独自の支援疾病（29疾病）

| 番号 | 疾病名 | 番号 | 疾病名 | 番号 | 疾病名 | 番号 | 疾病名 |
| 17 | 一次性ネフローゼ症候群 | 64 | 環状20番染色体症候群 | 111 | 抗糸球体基底膜腎炎 | 158 | 出血性線維異常症 |
| 18 | 一次性膜性増殖性糸球体腎炎 | 65 | 関節リウマチ | 112 | 後縦靭帯骨化症 | 159 | ジュベール症候群関連疾患 |
| 19 | 1p36欠失症候群 | 66 | 完全大血管転位症 | 113 | 甲状腺ホルモン不応症 | 160 | シュワルツ・ヤンペル症候群 |
| 20 | 遺伝性自己炎症疾患 | 67 | 眼皮膚白皮症 | 114 | 拘束型心筋症 | 161 | 神経細胞移動異常症 |
| 21 | 遺伝性ジストニア | 68 | 偽性副甲状腺機能低下症 | 115 | 高チロシン血症1型 | 162 | 神経軸索スフェロイド形成を伴う遺伝性びまん性白質脳症 |
| 22 | 遺伝性周期性四肢麻痺 | 69 | ギャロウェイ・モワト症候群 | 116 | 高チロシン血症2型 | 163 | 神経線維腫症 |
| 23 | 遺伝性膵炎 | 70 | 急性壊死性脳症　○ | 117 | 高チロシン血症3型　○ | 164 | 神経有棘赤血球症 |
| 24 | 遺伝性鉄芽球性貧血 | 71 | 急性網膜壊死　○ | 118 | 後天性赤芽球癆 | 165 | 進行性核上性麻痺 |
| 25 | ウィーバー症候群 | 72 | 球脊髄性筋萎縮症 | 119 | 広範脊柱管狭窄症 | 166 | 進行性家族性肝内胆汁うっ滞症 |
| 26 | ウィリアムズ症候群 | 73 | 急速進行性糸球体腎炎 | 120 | 膠様滴状角膜ジストロフィー | 167 | 進行性骨化性線維異形成症 |
| 27 | ウィルソン病 | 74 | 強直性脊椎炎 | 121 | 抗リン脂質抗体症候群 | 168 | 進行性多巣性白質脳症 |
| 28 | ウエスト症候群 | 75 | 巨細胞性動脈炎 | 122 | 極長鎖アシル-CoA脱水素酵素欠損症 | 169 | 進行性白質脳症 |
| 29 | ウェルナー症候群 | 76 | 巨大静脈奇形（頸部口腔咽頭びまん性病変） | 123 | コケイン症候群 | 170 | 進行性ミオクローヌスてんかん |
| 30 | ウォルフラム症候群 | 77 | 巨大動静脈奇形（頸部顔面又は四肢病変） | 124 | コステロ症候群 | 171 | 心室中隔欠損を伴う肺動脈閉鎖症 |
| 31 | ウルリッヒ病 | 78 | 巨大膀胱短小結腸腸管蠕動不全症 | 125 | 骨形成不全症 | 172 | 心室中隔欠損を伴わない肺動脈閉鎖症 |
| 32 | HTRA1関連脳小血管病 | 79 | 巨大リンパ管奇形（頸部顔面病変） | 126 | 骨髄異形成症候群　○ | 173 | 睡眠時棘徐波活性化を示す発達性てんかん性脳症及びてんかん性脳症 |
| 33 | HTLV-1関連脊髄症 | 80 | 筋萎縮性側索硬化症 | 127 | 骨髄線維症　○ | 174 | スタージ・ウェーバー症候群 |
| 34 | ATR-X症候群 | 81 | 筋型糖原病 | 128 | ゴナドトロピン分泌亢進症 | 175 | スティーヴンス・ジョンソン症候群 |
| 35 | ADH分泌異常症 | 82 | 筋ジストロフィー | 129 | 5p欠失症候群 | 176 | スミス・マギニス症候群 |
| 36 | エーラス・ダンロス症候群 | 83 | クッシング病 | 130 | コフィン・シリス症候群 | 177 | スモン　○ |
| 37 | エプスタイン症候群 | 84 | クリオピリン関連周期熱症候群 | 131 | コフィン・ローリー症候群 | 178 | 脆弱X症候群 |
| 38 | エプスタイン病 | 85 | クリッペル・トレノネー・ウェーバー症候群 | 132 | 混合性結合組織病 | 179 | 脆弱X症候群関連疾患 |
| 39 | エマヌエル症候群 | 86 | クルーゾン症候群 | 133 | 鰓耳腎症候群 | 180 | 成人発症スチル病 |
| 40 | MECP2重複症候群 | 87 | グルコーストランスポーター1欠損症 | 134 | 再生不良性貧血 | 181 | 成長ホルモン分泌亢進症 |
| 41 | LMNB1関連大脳白質脳症 | 88 | グルタル酸血症1型 | 135 | サイトメガロウィルス角膜内皮炎　○ | 182 | 脊髄空洞症 |
| 42 | 遠位型ミオパチー | 89 | グルタル酸血症2型 | 136 | 再発性多発軟骨炎 | 183 | 脊髄小脳変性症（多系統萎縮症を除く。） |
| 43 | 円錐角膜　○ | 90 | クロウ・深瀬症候群 | 137 | 左心低形成症候群 | 184 | 脊髄髄膜瘤 |
| 44 | 黄色靭帯骨化症 | 91 | クローン病 | 138 | サルコイドーシス | 185 | 脊髄性筋萎縮症 |
| 45 | 黄斑ジストロフィー | 92 | クロンカイト・カナダ症候群 | 139 | 三尖弁閉鎖症 | 186 | セピアプテリン還元酵素（SR）欠損症 |
| 46 | 大田原症候群 | 93 | 痙攣重積型（二相性）急性脳症 | 140 | 三頭酵素欠損症 | 187 | 前眼部形成異常 |
| 47 | オクシピタル・ホーン症候群 | 94 | 結節性硬化症 | 141 | CFC症候群 | 188 | 全身性エリテマトーデス |

[右縦書き]
参考資料
4

[下部中央]
- 199 -
