# 4. 障害者総合支援法の難病患者等対象疾患一覧 376疾患（令和7年4月1日改定）
○印…障害者総合支援法独自の支援疾病（29疾病）

| 番号 | 疾病名 | 番号 | 疾病名 | 番号 | 疾病名 | 番号 | 疾病名 |
| 215 | ソトス症候群 | 262 | 尿素サイクル異常症 | 309 | 副腎白質ジストロフィー | 356 | 遊走性焦点発作を伴う乳児てんかん |
| 216 | ダイアモンド・ブラックファン貧血 | 263 | ヌーナン症候群 | 310 | 副腎皮質刺激ホルモン不応症 | 357 | 4p欠失症候群 |
| 217 | 第14番染色体父親性ダイソミー症候群 | 264 | ネイルパテラ症候群（爪膝蓋骨症候群）／LMX1B関連腎症 | 311 | プラウ症候群 | 358 | ライソゾーム病 |
| 218 | 大脳皮質基底核変性症 | 265 | ネフロン癆 | 312 | プラダー・ウィリ症候群 | 359 | ラスムッセン脳炎 |
| 219 | 大理石骨病 | 266 | 脳クレアチン欠乏症候群 | 313 | プリオン病 | 360 | ランゲルハンス細胞組織球症 ○ |
| 220 | ダウン症候群 ○ | 267 | 脳腱黄色腫症 | 314 | プロピオン酸血症 | 361 | ランドウ・クレフナー症候群 |
| 221 | 高安動脈炎 | 268 | 脳内鉄沈着神経変性症 | 315 | PRL分泌亢進症（高プロラクチン血症） | 362 | リジン尿性蛋白不耐症 |
| 222 | 多系統萎縮症 | 269 | 脳表ヘモジデリン沈着症 | 316 | 閉塞性細気管支炎 | 363 | 両側性小耳症・外耳道閉鎖症 ○ |
| 223 | タナトフォリック骨異形成症 | 270 | 膿疱性乾癬 | 317 | β-ケトチオラーゼ欠損症 | 364 | 両大血管室起始症 |
| 224 | 多発血管炎性肉芽腫症 | 271 | 嚢胞性線維症 | 318 | ベーチェット病 | 365 | リンパ管腫症／ゴーハム病 |
| 225 | 多発性硬化症／視神経脊髄炎 | 272 | パーキンソン病 | 319 | ベスレムミオパチー | 366 | リンパ脈管筋腫症 |
| 226 | 多発性軟骨性外骨腫症 ○ | 273 | バージャー病 | 320 | ヘパリン起因性血小板減少症 ○ | 367 | 類天疱瘡（後天性表皮水疱症を含む。） |
| 227 | 多発性嚢胞腎 | 274 | 肺静脈閉塞症／肺毛細血管腫症 | 321 | ヘモクロマトーシス ○ | 368 | ルビンシュタイン・テイビ症候群 |
| 228 | 多脾症候群 | 275 | 肺動脈性肺高血圧症 | 322 | ペリー病 | 369 | レーベル遺伝性視神経症 |
| 229 | タンジール病 | 276 | 肺胞蛋白症（自己免疫性又は先天性） | 323 | ペルーシド角膜辺縁変性症 ○ | 370 | レシチンコレステロールアシルトランスフェラーゼ欠損症 |
| 230 | 単心室症 | 277 | 肺胞低換気症候群 | 324 | ペルオキシソーム病（副腎白質ジストロフィーを除く。） | 371 | 劣性遺伝形式をとる遺伝性難聴 ○ |
| 231 | 弾性線維性仮性黄色腫 | 278 | ハッチンソン・ギルフォード症候群 | 325 | 片側巨脳症 | 372 | レット症候群 |
| 232 | 短腸症候群 ○ | 279 | バッド・キアリ症候群 | 326 | 片側痙攣・片麻痺・てんかん症候群 | 373 | レノックス・ガストー症候群 |
| 233 | 胆道閉鎖症 | 280 | ハンチントン病 | 327 | 芳香族L-アミノ酸脱炭酸酵素欠損症 | 374 | ロウ症候群 |
| 234 | 遅発性内リンパ水腫 | 281 | 汎発性特発性骨増殖症 ○ | 328 | 発作性夜間ヘモグロビン尿症 | 375 | ロスムンド・トムソン症候群 |
| 235 | チャージ症候群 | 282 | PCDH19関連症候群 | 329 | ホモシスティン尿症 | 376 | 肋骨異常を伴う先天性側弯症 |

---
**参考資料 4**

- 200 -
