5.心身障害者等福祉手当(区制度) 指定の疾病一覧 361疾病(令和7年4月1日改定)

---

### 指定の疾病一覧（150〜281）

| インデックス | 番号 | 疾病名 |
| | 194 | 先天性副腎皮質酵素欠損症 |
| | 195 | 先天性ミオパチー |
| | 196 | 先天性無痛無汗症 |
| | 197 | 先天性葉酸吸収不全 |
| | 198 | 前頭側頭葉変性症 |
| | 199 | 線毛機能不全症候群（カルタゲナー症候群を含む。） |
| **そ** | 200 | 早期ミオクローヌス脳症 |
| | 201 | 総動脈幹遺残症 |
| | 202 | 総排泄腔外反症 |
| | 203 | 総排泄腔遺残 |
| | 204 | ソトス症候群 |
| | 205 | ダイアモンド・ブラックファン貧血 |
| | 206 | 第14番染色体父親性ダイソミー症候群 |
| | 207 | 大脳皮質基底核変性症 |
| | 208 | 大理石骨病 |
| | 209 | 高安動脈炎 |
| | 210 | 多系統萎縮症 |
| **た** | 211 | タナトフォリック骨異形成症 |
| | 212 | 多発血管炎性肉芽腫症 |
| | 213 | 多発性硬化症／視神経脊髄炎 |
| | 214 | 多発性嚢胞腎 |
| | 215 | 多脾症候群 |
| | 216 | タンジール病 |
| | 217 | 単心室症 |
| | 218 | 弾性線維性仮性黄色腫 |
| | 219 | 胆道閉鎖症 |
| **ち** | 220 | 遅発性内リンパ水腫 |
| | 221 | チャージ症候群 |
| | 222 | 中隔視神経形成異常症／ドモルシア症候群 |
| | 223 | 中毒性表皮壊死症 |
| | 224 | 腸管神経節細胞僅少症 |
| **つ** | 225 | 低ホスファターゼ症 |
| **て** | 226 | 点頭てんかん |
| | 227 | 天疱瘡 |
| | 228 | 特発性拡張型心筋症 |
| | 229 | 特発性間質性肺炎 |
| | 230 | 特発性基底核石灰化症 |
| **と** | 231 | 特発性血栓症（遺伝性血栓性素因によるものに限る。） |
| | 232 | 特発性後天性全身性無汗症 |
| | 233 | 特発性大腿骨頭壊死症 |
| | 234 | 特発性多中心性キャッスルマン病 |
| | 235 | 特発性門脈圧亢進症 |
| **と** | 236 | ドラベ症候群 |
| | 237 | 中條・西村症候群 |
| | 238 | 那須ハコラ病 |
| **な** | 239 | 軟骨無形成症 |
| | 240 | 難治頻回部分発作重積型急性脳炎 |
| | 241 | 乳児発症STING関連血管炎 |
| **に** | 242 | 乳幼児肝巨大血管腫 |
| | 243 | 尿素サイクル異常症 |
| **ぬ** | 244 | ヌーナン症候群 |
| **ね** | 245 | ネイルパテラ症候群（爪膝蓋骨症候群）／LMX1B関連腎症 |
| | 246 | ネフロン癆 |
| | 247 | 脳クレアチン欠乏症候群 |
| | 248 | 脳腱黄色腫症 |
| **の** | 249 | 脳内鉄沈着神経変性症 |
| | 250 | 脳表ヘモジデリン沈着症 |
| | 251 | 膿疱性乾癬（汎発型） |
| | 252 | 嚢胞性線維症 |
| | 253 | パーキンソン病 |
| | 254 | バージャー病 |
| | 255 | 肺静脈閉塞症／肺毛細血管腫症 |
| | 256 | 肺動脈性肺高血圧症 |
| **は** | 257 | 肺胞蛋白症（自己免疫性又は先天性） |
| | 258 | 肺胞低換気症候群 |
| | 259 | ハッチソン・ギルフォード症候群 |
| | 260 | バッド・キアリ症候群 |
| | 261 | ハンチントン病 |
| | 262 | 非ケトーシス型高グリシン血症 |
| | 263 | 肥厚性皮膚骨膜症 |
| | 264 | 非ジストロフィー性ミオトニー症候群 |
| | 265 | 皮質下梗塞と白質脳症を伴う常染色体優性脳動脈症 |
| | 266 | 肥大型心筋症 |
| | 267 | ビタミンD依存性くる病／骨軟化症 |
| **ひ** | 268 | ビタミンD抵抗性くる病／骨軟化症 |
| | 269 | 左肺動脈右肺動脈起始症 |
| | 270 | ビッカースタッフ脳幹脳炎 |
| | 271 | 非典型溶血性尿毒症症候群 |
| | 272 | 非特異性多発性小腸潰瘍症 |
| | 273 | 皮膚筋炎／多発性筋炎 |
| | 274 | びまん性汎細気管支炎 |
| | 275 | 表皮水疱症 |
| | 276 | ヒルシュスプルング病（全結腸型又は小腸型） |
| | 277 | ファイファー症候群 |
| | 278 | ファロー四徴症 |
| **ふ** | 279 | ファンコニ貧血 |
| | 280 | 封入体筋炎 |
| | 281 | フェニルケトン尿症 |

---

参考資料 5

- 202 -
